name,cost
Huck Towels White,46
Bagels Poppyseed,7
Wine - Marlbourough Sauv Blanc,26
Sweet Pea Sprouts,39
"Beef - Tongue, Fresh",17
Buffalo - Striploin,29
Pork - Shoulder,12
Pepper - Red Chili,90
Rice - Long Grain,65
Avocado,23
Apple - Granny Smith,10
Garam Masala Powder,79
"Roe - Lump Fish, Black",62
"Tart Shells - Savory, 3",100
Tomato - Peeled Italian Canned,54
Island Oasis - Pina Colada,100
"Pasta - Linguini, Dry",68
Bread - Wheat Baguette,15
"Pepper - White, Whole",93
Milk - Homo,49
Duck - Legs,67
Beer - Sleemans Honey Brown,74
Ecolab - Medallion,13
Wine - Conde De Valdemar,78
Food Colouring - Red,8
Mix Pina Colada,16
Truffle Paste,10
Silicone Paper 16.5x24,18
Sour Puss - Tangerine,8
Beets - Pickled,27
Okra,86
Gatorade - Lemon Lime,1
Soupcontfoam16oz 116con,65
Cocoa Butter,19
Cake - Lemon Chiffon,94
"Vermacelli - Sprinkles, Assorted",9
Calvados - Boulard,16
Salt - Sea,94
Soup Campbells Turkey Veg.,87
Wine - Duboeuf Beaujolais,70
Flower - Carnations,24
"Juice - Grape, White",44
Sherry - Dry,47
Bread Cranberry Foccacia,6
"Carrots - Mini, Stem On",21
"Nut - Hazelnut, Ground, Natural",37
Kaffir Lime Leaves,11
"Turkey - Breast, Smoked",11
Ecolab - Hand Soap Form Antibac,52
"Nut - Hazelnut, Whole",92
Jolt Cola - Red Eye,50
Ecolab Silver Fusion,62
Sunflower Seed Raw,48
Beef - Montreal Smoked Brisket,47
"Pepsi - Diet, 355 Ml",97
Salad Dressing,72
Chocolate Bar - Oh Henry,11
"Shrimp, Dried, Small / Lb",39
Nut - Macadamia,21
Cumin - Ground,21
Sugar - Fine,59
Chinese Foods - Thick Noodles,40
Soup - Campbells Bean Medley,13
Longos - Chicken Curried,49
"Crab - Dungeness, Whole, live",35
Carbonated Water - Raspberry,82
Paste - Black Olive,13
Ostrich - Fan Fillet,54
Sauce - Mint,88
Frangelico,80
Crackers - Trio,48
Table Cloth 62x120 Colour,21
"Pepper - Paprika, Hungarian",31
Celery,99
Avocado,78
"Stock - Veal, Brown",69
Orange Roughy 4/6 Oz,77
Sour Cream,33
Butter Sweet,21
Tomato Puree,9
Mace,10
Milk - Chocolate 500ml,24
"Artichokes - Knobless, White",80
"Bread - Pumpernickle, Rounds",12
Butter Ripple - Phillips,40
"Wine - White, Schroder And Schyl",1
Whmis Spray Bottle Graduated,86
Chicken - Base,29
Syrup - Chocolate,2
Gherkin,55
Table Cloth 144x90 White,31
Juice - Orangina,69
Jagermeister,58
Versatainer Nc - 8288,58
"Mushroom - Chanterelle, Dry",35
Pears - Fiorelle,84
"Bread - Roll, Italian",1
Dill Weed - Fresh,88
Cookie Dough - Oatmeal Rasin,97
Energy Drink,92
"Extract - Vanilla,artificial",49
Lettuce - Spring Mix,81
Swiss Chard,81
Chevere Logs,90
"Cake Circle, Paprus",49
Salt And Pepper Mix - White,89
Tea - Lemon Scented,85
Chicken Breast Halal,53
Calaloo,70
Oil - Coconut,89
Paper Cocktail Umberlla 80 - 180,15
Sauce - Roasted Red Pepper,80
Cheese - Swiss Sliced,99
Cranberry Foccacia,70
"Chilli Paste, Sambal Oelek",81
Yokaline,50
"Yogurt - Blueberry, 175 Gr",93
Ice Cream Bar - Rolo Cone,26
Soup - Base Broth Beef,64
Bread - Corn Muffaletta,54
Onion - Dried,38
Ice Cream - Super Sandwich,11
Sea Urchin,13
Sugar - Splenda Sweetener,80
Beer - Molson Excel,84
Cheese - Bakers Cream Cheese,2
"Roe - Lump Fish, Black",94
"Mushroom - Shitake, Fresh",91
"Trout - Hot Smkd, Dbl Fillet",86
Loquat,81
Saskatoon Berries - Frozen,86
Sauce - Hollandaise,88
"Beer - Alexander Kieths, Pale Ale",6
Chinese Foods - Plain Fried Rice,41
Table Cloth 54x72 Colour,13
Rosemary - Dry,57
Juice - Lagoon Mango,45
Cornstarch,49
Flavouring - Rum,13
Greens Mustard,28
Pie Shells 10,17
Wine - Shiraz South Eastern,9
Cup - 4oz Translucent,54
Bread - Hamburger Buns,37
Towels - Paper / Kraft,45
Soup - Campbells Beef Noodle,49
Rootbeer,30
"Gingerale - Schweppes, 355 Ml",76
Spring Roll Veg Mini,66
"Red Snapper - Fresh, Whole",74
"Lamb - Whole Head Off,nz",27
Cheese Cheddar Processed,68
V8 Pet,22
Coffee Cup 16oz Foam,21
Sesame Seed Black,10
Table Cloth 54x54 White,83
"Wine - White, Pelee Island",92
Cheese - Le Cheve Noir,99
Milk - 2%,91
Soup - Base Broth Beef,90
Creme De Menthe Green,84
Wine - Two Oceans Cabernet,60
Wine - Pinot Noir Latour,91
Pepper - Pablano,75
"Lentils - Green, Dry",39
Pate - Cognac,54
Compound - Mocha,41
Veal - Insides Provini,53
Salt - Table,77
Ecolab - Ster Bac,11
"Salsify, Organic",93
Wine - Semi Dry Riesling Vineland,10
Egg - Salad Premix,84
Cake - Mini Potato Pancake,29
Basil - Seedlings Cookstown,97
The Pop Shoppe - Lime Rickey,11
Wine - Vouvray Cuvee Domaine,81
Parsley - Fresh,86
Cookie - Oatmeal,55
"Apple - Delicious, Red",100
Milkettes - 2%,18
Gingerale - Diet - Schweppes,59
Cloves - Ground,2
Cheese - Cream Cheese,76
Rabbit - Frozen,19
Water Chestnut - Canned,5
Nantucket Apple Juice,23
Kale - Red,13
Petite Baguette,55
Salad Dressing,84
Tray - 12in Rnd Blk,8
Ecolab - Lime - A - Way 4/4 L,74
"Fish - Halibut, Cold Smoked",95
"Juice - Grapefruit, 341 Ml",52
Iced Tea Concentrate,46
Danishes - Mini Raspberry,40
Ice Cream Bar - Drumstick,23
Paper - Brown Paper Mini Cups,79
Butcher Twine 4r,41
Lobster - Canned Premium,65
Sour Puss Raspberry,10
"Mushroom - Shitake, Dry",9
Cheese - Cottage Cheese,16
Halibut - Steaks,63
Lychee - Canned,73
Wine - Baron De Rothschild,29
Cheese Cheddar Processed,39
Vinegar - Balsamic,63
Jack Daniels,7
English Muffin,94
Artichokes - Jerusalem,45
Dikon,78
Rice - Sushi,24
Onions - Cippolini,76
Water - Tonic,50
Pastry - Baked Scones - Mini,15
Muffin - Zero Transfat,33
Milk - 1%,16
Danishes - Mini Raspberry,27
Oil - Grapeseed Oil,89
Cream - 18%,66
Paste - Black Olive,89
Lamb - Bones,92
Sausage - Liver,3
Towel Dispenser,17
Octopus,54
Cheese - Le Cheve Noir,17
"Gin - Gilbeys London, Dry",23
Anchovy Fillets,17
"Water - Spring Water, 355 Ml",79
Walkers Special Old Whiskey,29
Melon - Watermelon Yellow,84
Paper - Brown Paper Mini Cups,28
Canada Dry,24
Ecolab - Hobart Washarm End Cap,65
Sugar - White Packet,30
"Chocolate - Pistoles, White",20
Poppy Seed,33
Chicken - Soup Base,9
Tomato - Plum With Basil,66
Juice - Ocean Spray Cranberry,44
Spice - Onion Powder Granulated,13
Sugar - Icing,64
Tandoori Curry Paste,72
Cheese - Roquefort Pappillon,67
Pepper - Roasted Red,11
Grapefruit - Pink,64
Sauce - Chili,30
Chicken Breast Halal,8
Chickensplit Half,51
Ginger - Ground,27
Island Oasis - Wildberry,75
Tomatoes,85
Soup Campbells - Tomato Bisque,4
Garbag Bags - Black,55
Broom Handle,36
"Crab - Back Fin Meat, Canned",81
Wine - Casillero Deldiablo,91
Cookies Almond Hazelnut,36
Table Cloth 120 Round White,55
Cabbage - Savoy,74
"Spoon - Soup, Plastic",59
Chicken - Wieners,96
Mustard - Pommery,98
Yogurt - Assorted Pack,93
"Pepper - Chillies, Crushed",74
"Bread - Pumpernickle, Rounds",20
Cranberries - Fresh,46
Milk - Condensed,48
Absolut Citron,11
Wine - Clavet Saint Emilion,55
Beef Ground Medium,57
Pork - Kidney,79
Flour - Pastry,46
Jam - Raspberry,54
Sugar - Brown,18
"Melon - Watermelon, Seedless",84
"Beef - Kindney, Whole",60
Pastry - Cherry Danish - Mini,59
Appetizer - Smoked Salmon / Dill,15
Wine - Blue Nun Qualitatswein,90
Cinnamon - Stick,47
Tart - Butter Plain Squares,47
Juice - Cranberry 284ml,68
Lettuce - Lambs Mash,87
"Potatoes - Yukon Gold, 80 Ct",82
Alize Red Passion,88
Squid - Breaded,92
Numi - Assorted Teas,27
Nantucket - Kiwi Berry Cktl.,24
"Beans - Kidney, Canned",40
Soap - Pine Sol Floor Cleaner,13
Tarragon - Fresh,94
Cheese - Gouda,84
Frangelico,99
Flax Seed,65
Mushroom - King Eryingii,96
Pail For Lid 1537,44
Jicama,83
Squid - U 5,60
Gloves - Goldtouch Disposable,9
"Wine - Mas Chicet Rose, Vintage",55
"Nut - Pecan, Pieces",81
"Chilli Paste, Hot Sambal Oelek",59
Cheese - Pied De Vents,30
Irish Cream - Butterscotch,32
Apple - Northern Spy,44
Nantucket - Orange Mango Cktl,1
Aspic - Clear,8
Wine - Ej Gallo Sierra Valley,94
"Capon - Breast, Wing On",34
Beer - Upper Canada Light,78
Flower - Potmums,88
Tomatoes - Orange,67
Cherries - Frozen,73
Bar - Sweet And Salty Chocolate,30
"Wine - White, Colubia Cresh",4
Vaccum Bag - 14x20,91
Praline Paste,23
Cake - Cake Sheet Macaroon,30
Wine - Lou Black Shiraz,29
Bok Choy - Baby,18
Crab - Meat Combo,64
Basil - Seedlings Cookstown,68
Onions Granulated,73
Pan Grease,30
Pasta - Canelloni,46
Coffee - Ristretto Coffee Capsule,31
Mushrooms - Honey,33
Mousse - Passion Fruit,90
Sugar - Icing,19
Beer - Moosehead,55
Tomatoes - Roma,55
Ecolab Crystal Fusion,53
Ice Cream - Chocolate,91
Irish Cream - Baileys,66
Cheese - Goat With Herbs,39
Eggplant Oriental,11
Lid Tray - 16in Dome,81
Pickles - Gherkins,91
Fenngreek Seed,27
Butter Ripple - Phillips,100
Veal - Bones,39
Puree - Passion Fruit,74
Apple - Northern Spy,66
Table Cloth 120 Round White,44
Hog / Sausage Casing - Pork,72
Fiddlehead - Frozen,75
"Doilies - 7, Paper",72
Longos - Penne With Pesto,48
"Yogurt - Cherry, 175 Gr",13
Turkey Tenderloin Frozen,71
"Vermouth - White, Cinzano",96
Tilapia - Fillets,98
Arrowroot,65
Energy - Boo - Koo,70
Food Colouring - Blue,56
"Mushroom - Shitake, Dry",12
"Wine - Red, Cooking",47
Cheese - Mix,86
Honey - Liquid,45
"Chocolate - Pistoles, Lactee, Milk",3
"Sauce - Bernaise, Mix",38
Bar Mix - Lime,23
Wine - Cava Aria Estate Brut,20
Browning Caramel Glace,98
Cookies Oatmeal Raisin,85
Pork - Bacon Cooked Slcd,59
Pie Filling - Cherry,95
"Pasta - Penne, Lisce, Dry",68
Coffee Caramel Biscotti,26
Chocolate - Semi Sweet,85
Bread Base - Toscano,8
Yogurt - Plain,93
Ocean Spray - Ruby Red,18
Cheese - Marble,57
"Pork - Loin, Center Cut",52
"Sauce - Soya, Light",69
Lettuce - Boston Bib,28
Otomegusa Dashi Konbu,64
Cookie - Oatmeal,54
Squid - Tubes / Tenticles 10/20,53
Shrimp - Prawn,59
Cream - 10%,27
Pears - Bartlett,35
"Pork - Butt, Boneless",52
Foil Wrap,26
Bread Bowl Plain,42
Wine - Barolo Fontanafredda,72
Kiwano,34
Juice - Lime,84
"Cake Circle, Paprus",53
"Pork - Tenderloin, Frozen",88
Pasta - Agnolotti - Butternut,67
Compound - Raspberry,13
Muffin Mix - Blueberry,81
"Appetizer - Mini Egg Roll, Shrimp",70
Red Pepper Paste,61
Beans - Kidney White,22
Table Cloth 53x69 White,13
Rice - Long Grain,62
Beer - Paulaner Hefeweisse,78
Coriander - Seed,59
Dried Peach,63
Sauce - Mint,3
Table Cloth 120 Round White,37
Turkey - Ground. Lean,43
Orange - Blood,69
Wine - Chateau Timberlay,16
Lobster - Base,8
V8 Splash Strawberry Banana,81
Liners - Baking Cups,7
Pepper Squash,5
Wine - Alicanca Vinho Verde,1
Pepper - Pablano,86
Sardines,91
Cheese - Wine,35
Beef Striploin Aaa,39
"Pork - Tenderloin, Frozen",80
"Pesto - Primerba, Paste",22
Flavouring Vanilla Artificial,13
Mushroom Morel Fresh,74
Cleaner - Bleach,69
"Beef - Rib Roast, Cap On",86
Mcgillicuddy Vanilla Schnap,45
"Soup - Knorr, Chicken Noodle",63
Chocolate Bar - Oh Henry,76
Stainless Steel Cleaner Vision,75
Sesame Seed,71
Juice - Ocean Spray Kiwi,93
Oil - Margarine,66
Pork Casing,40
Raspberries - Frozen,77
"Potatoes - Yukon Gold, 80 Ct",96
"Pepper - Paprika, Hungarian",73
Wine - Sauvignon Blanc,71
Calaloo,64
Rosemary - Dry,26
Pepper - Green,13
Tomatoes,23
"Salmon - Whole, 4 - 6 Pounds",5
"Cheese - Manchego, Spanish",63
Mustard Prepared,94
"Tart Shells - Sweet, 3",64
Bread Bowl Plain,45
Sugar - Palm,68
Veal - Loin,52
Truffle Shells - Semi - Sweet,49
Longos - Chicken Cordon Bleu,29
Coffee - Almond Amaretto,48
Banana Turning,46
Island Oasis - Pina Colada,17
"Soup - Clam Chowder, Dry Mix",92
Tea - Decaf Lipton,11
Kirsch - Schloss,23
Mudslide,79
Aromat Spice / Seasoning,94
Spice - Pepper Portions,57
Rappini - Andy Boy,85
Foil Wrap,54
Wine - Chianti Classico Riserva,62
Okra,38
Soup - Campbells Beef Noodle,29
Oyster - In Shell,91
Compound - Raspberry,100
"Soup - French Onion, Dry",80
Nescafe - Frothy French Vanilla,98
Cheese - Pied De Vents,17
Onions - Cippolini,82
"Chicken - White Meat, No Tender",78
Cheese - Comte,34
Veal - Knuckle,74
Bagel - 12 Grain Preslice,97
Zucchini - Green,67
Chips Potato Swt Chilli Sour,19
Bread - French Stick,18
Wine - Dubouef Macon - Villages,2
Island Oasis - Pina Colada,2
"Yeast - Fresh, Fleischman",80
Chips - Miss Vickies,99
Flour - Chickpea,28
Mix Pina Colada,100
Fiddlehead - Frozen,24
Squash - Acorn,70
Kiwi Gold Zespri,80
"Cake Circle, Foil, Scallop",94
Coffee - Cafe Moreno,92
Samosa - Veg,87
Sauce Tomato Pouch,76
Lettuce - Lolla Rosa,5
Wine - Prosecco Valdobienne,40
"Pork - Tenderloin, Fresh",90
Iced Tea Concentrate,74
Jack Daniels,53
Glass - Juice Clear 5oz 55005,50
French Pastry - Mini Chocolate,74
Butter - Unsalted,75
Scrubbie - Scotchbrite Hand Pad,93
Beer - Sleemans Honey Brown,14
Sauce - Hoisin,6
Beer - True North Lager,72
Nori Sea Weed - Gold Label,74
Bay Leaf Fresh,33
Pike - Frozen Fillet,72
"Pepper - Green, Chili",6
Seabream Whole Farmed,43
Maintenance Removal Charge,69
Cumin - Ground,6
"Pasta - Lasagna, Dry",74
Sambuca - Opal Nera,81
"Bread - Bagels, Mini",65
Crab Meat Claw Pasteurise,23
Nectarines,68
"Pepper - Chipotle, Canned",64
Bread - Mini Hamburger Bun,23
"Beef - Chuck, Boneless",70
Vegetable - Base,93
"Tomatoes - Vine Ripe, Red",4
Nougat - Paste / Cream,15
Cheese - Cottage Cheese,78
Lemonade - Pineapple Passion,92
Quail - Jumbo Boneless,38
Hog / Sausage Casing - Pork,74
Beer - Mcauslan Apricot,11
Island Oasis - Wildberry,82
Spinach - Spinach Leaf,27
Broom - Push,46
Flax Seed,30
Knife Plastic - White,36
Beer - Pilsner Urquell,59
Pomello,66
Bread - Frozen Basket Variety,48
Danishes - Mini Raspberry,88
Vaccum Bag - 14x20,21
Toamtoes 6x7 Select,50
Truffle Paste,13
Chip - Potato Dill Pickle,49
Chocolate Bar - Oh Henry,84
"Soup - Knorr, Veg / Beef",12
Pasta - Orecchiette,78
Lamb - Bones,15
"Tart Shells - Savory, 4",38
Beef - Ground Lean Fresh,86
Towel - Roll White,20
Cheese - Oka,34
"Pepsi, 355 Ml",48
Wine - Lou Black Shiraz,42
Coffee - Cafe Moreno,58
Bread - Multigrain Oval,91
Nantucket - Pomegranate Pear,59
Greens Mustard,59
Cookies Cereal Nut,30
Table Cloth 91x91 Colour,38
Cheese - Provolone,3
Lemon Grass,60
Cookie - Dough Variety,63
Carbonated Water - White Grape,43
Arrowroot,80
Pork - Ham Hocks - Smoked,12
Saskatoon Berries - Frozen,20
Mangostein,78
Beer - Paulaner Hefeweisse,47
Tuna - Loin,60
Nougat - Paste / Cream,44
Rosemary - Dry,80
"Crab - Claws, Snow 16 - 24",7
"Chicken - Leg, Fresh",94
"Bread - Pumpernickle, Rounds",75
"Brocolinni - Gaylan, Chinese",7
"Wine - Red, Harrow Estates, Cab",89
Seaweed Green Sheets,49
Venison - Striploin,13
Water - Perrier,7
"Pepper - Paprika, Spanish",91
Chips Potato Salt Vinegar 43g,84
Poppy Seed,71
Spinach - Packaged,67
Cactus Pads,20
Sausage - Andouille,61
Cornflakes,73
Baking Soda,16
"Soup - Campbells, Butternut",54
Syrup - Kahlua Chocolate,82
Chicken - Wieners,68
Tray - 12in Rnd Blk,39
Pork - Caul Fat,60
Horseradish Root,88
Wine - Riesling Alsace Ac 2001,39
Bag Stand,78
Liquid Aminios Acid - Braggs,5
Beer - Maudite,81
Jam - Raspberry,60
Bread - Raisin Walnut Oval,6
Absolut Citron,84
"Juice - Apple, 500 Ml",36
"Juice - Cranberry, 341 Ml",89
Cheese - Cheddarsliced,72
"Veal - Brisket, Provimi, Bone - In",44
"Sauce - Soya, Dark",95
Wine - Ruffino Chianti Classico,7
Cheese - Parmesan Grated,46
Garlic Powder,44
"Fish - Soup Base, Bouillon",94
Jolt Cola - Electric Blue,95
Foil - Round Foil,73
Beef - Top Butt,96
"Beans - Navy, Dry",76
Haggis,33
Kirsch - Schloss,23
Peppercorns - Pink,36
Basil - Thai,81
Mountain Dew,92
Olive - Spread Tapenade,43
Scallops - Live In Shell,24
Chips Potato Salt Vinegar 43g,71
External Supplier,45
Water - Spring 1.5lit,16
Flour - So Mix Cake White,97
"Sprite, Diet - 355ml",21
"Tomatoes - Vine Ripe, Red",64
Halibut - Steaks,88
Wine - Taylors Reserve,14
Lobster - Base,25
Pastry - Choclate Baked,82
Galliano,81
Bacardi Limon,17
Toothpick Frilled,11
"Rum - Cream, Amarula",52
Bag - Clear 7 Lb,6
"Doilies - 7, Paper",24
Lobster - Tail 6 Oz,83
Cheese - Roquefort Pappillon,36
Coffee - Dark Roast,28
Beer - Blue,46
"Tart Shells - Savory, 4",93
Stainless Steel Cleaner Vision,12
"Octopus - Baby, Cleaned",22
Wine - Lamancha Do Crianza,30
Broom - Push,59
Chicken - Livers,16
Glaze - Apricot,83
Syrup - Monin - Blue Curacao,68
Anisette - Mcguiness,72
Scallops - Live In Shell,54
"Veal - Chops, Split, Frenched",93
Beef - Rib Eye Aaa,85
Truffle Cups Green,94
Wine - Sauvignon Blanc,38
Otomegusa Dashi Konbu,75
Plaintain,74
Bread - Frozen Basket Variety,38
Paper Cocktail Umberlla 80 - 180,45
Wine - Chianti Classico Riserva,60
Ocean Spray - Ruby Red,64
Beans - French,91
Container - Hngd Cll Blk 7x7x3,22
Island Oasis - Cappucino Mix,85
Container Clear 8 Oz,35
Onions Granulated,84
Sterno - Chafing Dish Fuel,50
Ice Cream - Fudge Bars,28
"Juice - Cranberry, 341 Ml",43
Bread - 10 Grain,39
Lemons,75
Rootbeer,66
Beets,46
Milk - Condensed,45
Papadam,43
Muffin - Mix - Creme Brule 15l,68
Ham - Black Forest,78
Muffin - Mix - Creme Brule 15l,66
Rice - Sushi,24
Mangostein,16
Chocolate Liqueur - Godet White,51
Veal - Knuckle,47
Wine - Spumante Bambino White,71
"Melon - Watermelon, Seedless",41
Soup Campbells Mexicali Tortilla,32
Chocolate - White,17
Mushroom - Porcini Frozen,99
Lamb Shoulder Boneless Nz,57
"Salmon - Atlantic, Fresh, Whole",37
"Cheese - Brie,danish",9
Ice Cream - Chocolate,30
Tomatoes - Orange,12
Carrots - Mini Red Organic,38
Cheese - Parmigiano Reggiano,39
Compound - Passion Fruit,51
Kirsch - Schloss,99
"Cheese - Cheddar, Old White",79
Banana - Leaves,44
Lid Tray - 12in Dome,24
"Bread - Pumpernickle, Rounds",8
Sage Ground Wiberg,56
Melon - Cantaloupe,14
Wine - Marlbourough Sauv Blanc,3
Beef - Montreal Smoked Brisket,11
Spice - Pepper Portions,21
Aspic - Clear,45
Sour Puss - Tangerine,28
"Bread - Roll, Calabrese",63
"Pasta - Rotini, Colour, Dry",100
Flour - Teff,73
Rhubarb,89
Coffee - Flavoured,65
Sterno - Chafing Dish Fuel,25
"Bread - Roll, Soft White Round",28
"Cheese - Mozzarella, Buffalo",66
Cheese - Shred Cheddar / Mozza,34
Longos - Grilled Chicken With,31
Longos - Chicken Wings,40
Chicken - Whole Fryers,81
Avocado,10
Nantucket - Kiwi Berry Cktl.,17
Red Cod Fillets - 225g,39
Chocolate Bar - Smarties,17
"Chicken - Leg, Boneless",28
Juice - Ocean Spray Kiwi,36
Pants Custom Dry Clean,2
"Beef - Tongue, Cooked",10
Tea - Honey Green Tea,19
Dried Figs,52
"Potatoes - Yukon Gold, 80 Ct",8
Saskatoon Berries - Frozen,57
Lid - 16 Oz And 32 Oz,31
Sauce - Oyster,48
Flour - So Mix Cake White,52
"Soup - Campbells, Creamy",100
Mortadella,46
"Nestea - Ice Tea, Diet",47
Spice - Paprika,83
"Sauce - Soya, Dark",79
"Cheese - Mozzarella, Shredded",21
Truffle Cups Green,78
Leeks - Large,76
Garam Marsala,65
Bread - Rye,78
Wild Boar - Tenderloin,66
Jerusalem Artichoke,85
"Pepper - White, Ground",44
Amarula Cream,90
Nantucket Orange Juice,18
"Chicken - Leg, Fresh",100
Sponge Cake Mix - Chocolate,21
Cookie - Dough Variety,62
"Rice Pilaf, Dry,package",47
"Crab - Claws, Snow 16 - 24",29
Tumeric,18
"Coke - Diet, 355 Ml",11
Oranges,24
Cranberries - Frozen,37
Beans - Soya Bean,69
Cheese - Brie,4
Energy Drink - Redbull 355ml,43
Peas Snow,30
Beans - Soya Bean,13
Wine - Muscadet Sur Lie,49
Pastry - Lemon Danish - Mini,73
Sauce - Vodka Blush,85
"Lamb - Whole, Fresh",13
Beef Tenderloin Aaa,7
"Pepper - Paprika, Spanish",76
Cookies Cereal Nut,69
Squid - Breaded,38
Bread - 10 Grain,67
Compound - Mocha,91
Soup - Boston Clam Chowder,71
"Water, Tap",74
Muffin Hinge - 211n,51
Snapple Lemon Tea,73
Lobak,41
Veal - Ground,62
"Cheese - Mozzarella, Buffalo",70
Chip - Potato Dill Pickle,5
Table Cloth - 53x69 Colour,14
Island Oasis - Ice Cream Mix,49
"Noodles - Cellophane, Thin",81
Cream Of Tartar,19
Juice - Apple 284ml,42
Pork - Backs - Boneless,9
Oil - Grapeseed Oil,61
Extract Vanilla Pure,50
Lobster - Canned Premium,85
Mushroom - Lg - Cello,90
"Split Peas - Yellow, Dry",51
Beer - Muskoka Cream Ale,34
Pecan Raisin - Tarts,34
Coffee - Egg Nog Capuccino,19
Mountain Dew,3
Veal - Sweetbread,16
"Carrots - Mini, Stem On",99
Chickhen - Chicken Phyllo,2
"Extract - Vanilla,artificial",62
Beer - Sleeman Fine Porter,12
Soup - Base Broth Chix,61
Samosa - Veg,46
Soup - Base Broth Chix,31
Soup - Campbells Tomato Ravioli,71
"Juice - Grape, White",28
Beef - Flank Steak,96
Egg Patty Fried,41
Sauce - Chili,62
"Tart Shells - Savory, 2",13
Peppercorns - Pink,69
Table Cloth 62x120 White,44
Irish Cream - Baileys,52
Sugar - Individual Portions,68
"Iced Tea - Lemon, 460 Ml",33
"Cup - 6oz, Foam",7
Wine - Cava Aria Estate Brut,70
Seaweed Green Sheets,35
Bread - Rosemary Focaccia,27
Wine - Chateau Timberlay,81
Dikon,70
Cheese - Victor Et Berthold,31
Cheese - St. Andre,59
Beans - Butter Lrg Lima,38
Muffin Hinge - 211n,5
Bok Choy - Baby,22
Vector Energy Bar,80
Nestea - Iced Tea,99
"Pepper - Red, Finger Hot",92
"Chilli Paste, Sambal Oelek",34
Momiji Oroshi Chili Sauce,90
Aspic - Light,92
Almonds Ground Blanched,84
Potatoes - Parissienne,53
Flour - So Mix Cake White,92
Raspberries - Fresh,56
Island Oasis - Lemonade,18
Mustard - Individual Pkg,87
Mustard - Individual Pkg,97
"Tart Shells - Savory, 3",43
Tuna - Salad Premix,31
Kumquat,41
Lettuce - Boston Bib,48
Scallops - 10/20,49
Tahini Paste,6
Jolt Cola - Red Eye,74
Wine - Sicilia Igt Nero Avola,9
Soap - Pine Sol Floor Cleaner,53
"Cheese - Cheddar, Mild",29
Bread - Calabrese Baguette,99
Tamarind Paste,24
"Pasta - Rotini, Dry",17
Cake - Cake Sheet Macaroon,51
"Chicken - Wings, Tip Off",15
Glaze - Apricot,9
Gatorade - Lemon Lime,97
Rambutan,41
"Pepsi - Diet, 355 Ml",2
Uniform Linen Charge,44
"Soup - Clam Chowder, Dry Mix",5
Cookie Dough - Oatmeal Rasin,40
"Wine - Red, Concha Y Toro",84
Sping Loaded Cup Dispenser,75
Soup - Campbells Beef Strogonoff,42
Mustard - Dijon,66
Langers - Cranberry Cocktail,71
"Nut - Hazelnut, Whole",10
Wine - Riesling Alsace Ac 2001,92
Cheese - Sheep Milk,86
Fruit Salad Deluxe,39
Flour - Cake,86
Madeira,17
Cheese - Camembert,76
Lid Tray - 16in Dome,96
Oysters - Smoked,58
Grand Marnier,81
Venison - Denver Leg Boneless,33
